latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
-16.06219,144.23396,334.48,1.75,1.3,2023-10-06,0035,T,83,6.1NRT,305.56,46.84,D
-16.06419,144.25015,325.46,1.76,1.3,2023-10-06,0035,T,44,6.1NRT,307.51,18.12,D
-16.06082,144.2448,335.3,1.76,1.3,2023-10-06,0035,T,83,6.1NRT,307.21,43.27,D
-16.08023,144.20996,328.88,1.75,1.3,2023-10-06,0035,T,66,6.1NRT,305.3,33.6,D
-16.0821,144.22585,325.83,1.75,1.3,2023-10-06,0035,T,34,6.1NRT,306.43,22.41,D
-16.09357,144.32336,326.21,1.78,1.31,2023-10-06,0035,T,64,6.1NRT,306.5,20.94,D
-16.09179,144.2085,327.68,1.75,1.3,2023-10-06,0035,T,60,6.1NRT,305.33,31.27,D
-16.10521,144.32167,324.32,1.78,1.31,2023-10-06,0035,T,54,6.1NRT,306.96,14.18,D
-16.20783,144.31808,325.01,1.79,1.31,2023-10-06,0035,T,70,6.1NRT,305.62,22.44,D
-14.07907,130.22914,322.58,3.53,1.77,2023-10-06,0035,T,70,6.1NRT,294.31,71.58,D
-14.07317,130.22452,320.05,3.53,1.77,2023-10-06,0035,T,65,6.1NRT,294.18,52.83,D
-16.77625,145.40352,326.5,2.2,1.44,2023-10-06,0035,T,72,6.1NRT,296.89,52.44,D
-16.77854,145.42412,328.08,2.21,1.44,2023-10-06,0035,T,75,6.1NRT,296.15,59.67,D
-16.78259,145.11935,341.59,2.09,1.41,2023-10-06,0035,T,88,6.1NRT,301.73,110.36,D
-16.78485,145.13885,327.91,2.1,1.41,2023-10-06,0035,T,65,6.1NRT,301.62,51.54,D
-16.79513,145.1178,321.62,2.09,1.41,2023-10-06,0035,T,36,6.1NRT,299.17,30.05,D
-16.82347,145.12746,327.44,2.1,1.41,2023-10-06,0035,T,54,6.1NRT,301.66,46.75,D
-16.83612,145.12672,319.69,2.1,1.41,2023-10-06,0035,T,44,6.1NRT,301.33,24.35,D
-15.62391,136.04128,322.69,1.25,1.11,2023-10-06,0035,T,55,6.1NRT,307.14,8.77,D
-16.24233,136.85992,338.22,1.12,1.05,2023-10-06,0035,T,77,6.1NRT,312.89,26.68,D
-16.24704,136.85257,334.77,1.12,1.05,2023-10-06,0035,T,64,6.1NRT,313.28,19.1,D
-16.24865,136.86279,331.42,1.11,1.05,2023-10-06,0035,T,37,6.1NRT,312.76,13.43,D
-16.25801,136.86128,331.69,1.11,1.05,2023-10-06,0035,T,66,6.1NRT,313.69,14.77,D
-16.62645,139.25388,323.97,1,1,2023-10-06,0035,T,69,6.1NRT,310.73,8.02,D
-15.38176,131.14011,318.48,2.83,1.61,2023-10-06,0035,T,62,6.1NRT,299.83,30.09,D
-15.40534,131.0271,321.92,2.88,1.62,2023-10-06,0035,T,65,6.1NRT,297.36,45.06,D
-15.41024,131.05403,332.35,2.87,1.62,2023-10-06,0035,T,83,6.1NRT,299.48,101.89,D
-16.1007,134.85362,336.41,1.46,1.19,2023-10-06,0035,T,84,6.1NRT,303.58,47.06,D
-16.10286,134.86702,349.73,1.45,1.19,2023-10-06,0035,T,94,6.1NRT,304.86,88.58,D
-16.11342,134.86513,328.96,1.45,1.19,2023-10-06,0035,T,76,6.1NRT,304.93,29.4,D
-16.13676,135.01033,345.9,1.42,1.18,2023-10-06,0035,T,92,6.1NRT,304.76,73.81,D
-16.13885,135.02332,351.55,1.42,1.18,2023-10-06,0035,T,95,6.1NRT,307.33,92.17,D
-16.10696,134.85953,341.87,1.45,1.19,2023-10-06,0035,T,89,6.1NRT,304.68,60.76,D
-16.10922,134.87294,325.32,1.45,1.19,2023-10-06,0035,T,64,6.1NRT,304.02,20.43,D
-16.13351,135.01755,337.08,1.42,1.18,2023-10-06,0035,T,85,6.1NRT,306.37,48.05,D
-16.11976,134.87103,327.99,1.45,1.19,2023-10-06,0035,T,74,6.1NRT,304.93,26.02,D
-16.14397,135.01581,345.83,1.42,1.18,2023-10-06,0035,T,91,6.1NRT,305.05,73.01,D
-16.14612,135.02875,338.52,1.41,1.18,2023-10-06,0035,T,86,6.1NRT,305.61,50.43,D
-16.15443,135.01411,359.61,1.42,1.18,2023-10-06,0035,T,99,6.1NRT,306.29,126.6,D
-16.15656,135.02695,363.66,1.41,1.18,2023-10-06,0035,T,100,6.1NRT,308.64,143.7,D
-16.15871,135.03987,334.6,1.41,1.18,2023-10-06,0035,T,82,6.1NRT,306.56,40.55,D
-16.16084,135.05275,328.69,1.41,1.17,2023-10-06,0035,T,75,6.1NRT,305.97,25.83,D
-16.14309,134.88066,329.1,1.45,1.19,2023-10-06,0035,T,42,6.1NRT,304.61,24.39,D
-16.16701,135.02521,342.21,1.41,1.18,2023-10-06,0035,T,89,6.1NRT,304.61,61.03,D
-16.16913,135.03807,339.4,1.41,1.18,2023-10-06,0035,T,87,6.1NRT,307.87,50.55,D
-16.15364,134.87888,324.57,1.45,1.19,2023-10-06,0035,T,34,6.1NRT,305.76,16.16,D
-16.15583,134.89212,324.04,1.44,1.19,2023-10-06,0035,T,45,6.1NRT,303.99,16.21,D
